city,temperature,rain,wind,humidity,claim_count_30d,avg_claim_amount,time_since_last_claim_hr,location_mismatch_score,speed_jump_kmh,accel_flatline_pct,risk_level,is_anomaly
Kolkata,28.8,0.0,7.5,40.6,13,366.74,4.3,79.1,186.7,88.9,LOW,1
Pune,35.8,0.5,9.6,50.7,8,376.49,23.6,68.0,709.0,87.2,LOW,1
Jaipur,31.4,0.0,6.1,42.7,2,84.67,296.2,4.6,60.4,12.8,LOW,0
Pune,24.7,0.0,5.6,57.6,3,164.09,386.5,24.0,67.6,22.4,LOW,0
Chennai,34.4,0.0,7.3,43.6,0,247.38,561.5,5.0,0.4,24.5,LOW,0
Bengaluru,31.7,0.0,7.0,57.5,0,174.66,254.3,1.6,24.9,9.8,LOW,0
Delhi,26.6,0.0,7.9,58.9,0,162.26,560.6,12.3,41.8,12.8,LOW,0
Lucknow,26.1,0.0,3.2,86.6,0,99.86,309.6,18.9,18.3,2.3,LOW,0
Delhi,39.0,0.0,9.5,48.6,2,114.87,109.0,8.9,72.5,8.2,LOW,0
Jaipur,36.8,7.1,7.8,63.0,13,488.58,8.4,71.1,607.0,74.5,LOW,1
Bengaluru,24.6,0.0,2.5,45.9,2,171.91,373.9,1.3,22.3,27.2,LOW,0
Delhi,38.0,0.0,11.9,80.9,13,347.53,17.7,62.1,561.0,85.3,MODERATE,1
Bengaluru,28.1,0.0,1.4,50.0,1,152.42,181.6,16.1,13.9,20.7,LOW,0
Kolkata,27.9,0.0,5.0,50.7,1,246.43,383.6,6.5,79.7,29.0,LOW,0
Chennai,33.8,15.0,9.3,86.3,3,227.55,616.2,23.4,62.8,20.1,MODERATE,0
Delhi,39.4,0.0,5.5,43.2,2,180.39,180.1,17.8,19.0,9.8,LOW,0
Hyderabad,39.4,0.0,1.8,60.0,1,103.04,193.8,24.3,31.4,26.8,LOW,0
Mumbai,35.9,0.0,4.0,50.5,3,54.86,473.2,4.4,75.2,28.6,LOW,0
Chennai,34.0,0.0,8.5,62.3,3,220.6,228.9,9.6,68.1,9.5,LOW,0
Mumbai,34.1,0.0,8.3,44.4,1,121.73,200.9,7.4,25.8,25.5,LOW,0
Jaipur,29.2,0.0,11.1,61.2,0,66.32,27.6,15.7,15.5,2.1,LOW,0
Delhi,29.1,13.0,1.5,79.5,0,217.79,622.8,6.3,3.1,9.1,LOW,0
Chennai,37.7,34.1,7.4,100.0,3,76.55,698.8,17.9,3.3,12.0,ELEVATED,0
Delhi,31.2,49.3,5.7,86.1,1,233.04,331.9,6.0,7.5,5.5,MODERATE,0
Chennai,33.8,0.0,13.7,74.9,15,371.19,18.4,40.9,225.4,61.8,LOW,1
Bengaluru,30.8,15.6,6.8,75.0,3,59.06,284.7,15.6,40.3,25.7,LOW,0
Chennai,35.9,0.0,11.6,69.1,2,178.66,342.9,13.6,75.3,11.6,LOW,0
Bengaluru,23.4,6.0,6.8,75.0,2,64.24,246.0,21.1,1.9,24.4,LOW,0
Jaipur,46.7,0.0,6.9,60.4,0,200.12,585.6,24.8,33.0,11.2,LOW,0
Kolkata,35.2,0.0,6.7,64.2,2,70.62,652.2,12.6,66.1,9.6,LOW,0
Delhi,37.9,0.0,5.6,77.9,2,170.49,409.4,5.3,75.7,23.4,MODERATE,0
Kolkata,31.0,23.9,3.3,91.7,1,243.73,502.9,20.9,69.3,25.2,MODERATE,0
Ahmedabad,34.6,51.8,5.7,62.6,2,231.54,436.0,8.8,56.7,14.5,MODERATE,0
Pune,25.9,12.5,7.5,73.1,3,73.76,105.8,16.2,59.7,17.5,LOW,0
Jaipur,26.3,0.0,4.5,57.7,8,439.08,2.7,50.0,290.9,71.8,LOW,1
Bengaluru,32.8,0.0,10.4,81.3,3,179.37,294.2,5.7,21.3,10.8,LOW,0
Hyderabad,26.3,0.0,5.1,44.2,0,238.11,314.0,14.5,73.5,2.5,LOW,0
Mumbai,28.3,60.1,8.6,84.1,1,126.18,699.1,21.1,67.1,14.1,MODERATE,0
Delhi,37.3,0.0,4.5,58.8,0,238.95,615.4,6.2,36.0,3.9,LOW,0
Delhi,30.8,0.0,4.0,15.0,1,220.44,408.1,14.0,70.1,12.1,LOW,0
Kolkata,33.6,0.0,10.1,49.8,11,421.62,15.6,73.3,209.2,89.1,LOW,1
Jaipur,44.0,0.0,7.2,66.8,3,141.87,610.1,19.2,5.3,1.4,MODERATE,0
Pune,21.7,0.0,4.7,53.5,2,166.95,302.6,17.4,14.4,20.9,LOW,0
Jaipur,34.6,0.0,9.9,49.6,10,369.02,9.0,41.9,506.7,81.4,LOW,1
Lucknow,26.9,11.8,0.5,81.5,3,62.22,216.7,20.2,59.9,5.5,MODERATE,0
Ahmedabad,48.9,0.0,4.1,74.7,13,326.62,16.8,90.7,637.3,61.2,MODERATE,1
Mumbai,36.6,12.5,0.6,77.8,2,67.84,396.6,5.8,27.4,14.2,LOW,0
Lucknow,33.0,13.9,8.4,98.3,2,125.75,258.9,22.5,48.6,7.3,MODERATE,0
Pune,24.4,3.6,6.7,72.2,1,211.17,62.7,21.1,4.1,0.5,LOW,0
Chennai,34.2,0.0,6.7,48.1,2,214.17,524.0,13.4,38.1,25.2,LOW,0
Chennai,31.3,24.8,4.0,74.5,3,67.46,376.2,23.3,25.7,17.8,LOW,0
Pune,26.6,101.2,3.8,92.1,0,50.54,105.2,11.8,48.5,23.8,ELEVATED,1
Bengaluru,29.8,0.0,6.9,48.9,3,164.89,609.9,3.5,63.6,6.0,LOW,0
Delhi,38.4,0.0,4.7,28.5,0,186.6,338.6,17.8,72.0,18.7,LOW,0
Bengaluru,28.1,57.5,10.0,90.0,2,158.57,324.3,8.3,58.4,20.8,MODERATE,0
Hyderabad,36.0,0.0,7.7,57.2,0,191.4,565.9,3.6,16.4,21.4,LOW,0
Chennai,32.0,0.0,9.5,51.8,0,147.27,308.6,19.3,1.0,18.0,LOW,0
Hyderabad,27.5,0.0,4.8,33.7,1,172.99,658.6,3.5,8.1,7.7,LOW,0
Ahmedabad,45.9,0.0,6.8,45.5,1,63.78,77.8,2.6,67.2,27.3,LOW,0
Bengaluru,38.2,1.4,6.6,92.9,14,322.85,10.5,91.8,749.9,78.6,LOW,1
Mumbai,32.5,97.6,10.3,85.7,0,232.97,276.2,14.5,50.6,0.4,ELEVATED,1
Chennai,34.3,28.5,7.0,81.3,2,169.08,70.7,18.7,16.8,26.9,MODERATE,0
Bengaluru,27.9,0.0,3.4,71.7,1,149.4,556.7,2.6,26.7,2.3,LOW,0
Delhi,27.6,0.0,3.7,50.7,1,223.4,308.0,13.8,20.3,5.9,LOW,0
Ahmedabad,37.5,0.0,4.6,40.3,13,444.45,20.7,89.8,408.2,86.7,LOW,1
Chennai,27.9,35.1,4.3,88.3,2,166.61,317.3,22.3,65.4,10.3,MODERATE,0
Lucknow,30.7,32.0,7.3,94.2,0,108.89,684.1,19.1,11.2,26.1,MODERATE,0
Ahmedabad,36.9,0.0,6.0,82.3,1,176.7,203.5,3.5,66.8,29.5,LOW,0
Lucknow,34.5,0.0,5.9,56.4,0,104.81,409.7,16.3,66.4,6.2,LOW,0
Lucknow,30.9,0.0,2.1,44.1,0,85.07,660.4,10.5,30.7,15.6,LOW,0
Mumbai,33.6,37.0,5.8,72.7,3,233.1,526.2,15.3,75.9,11.9,LOW,0
Ahmedabad,37.5,0.0,5.5,48.1,0,80.93,457.8,11.9,27.6,10.5,LOW,0
Bengaluru,35.9,0.0,4.9,63.5,3,243.54,27.7,2.6,25.2,24.2,LOW,0
Bengaluru,22.7,0.0,4.3,59.6,2,194.82,467.5,24.5,72.3,19.4,LOW,0
Lucknow,33.7,16.0,2.9,56.6,2,109.47,667.4,24.3,75.5,14.2,LOW,0
Hyderabad,32.1,0.0,6.7,56.2,3,146.21,640.0,13.3,35.3,12.1,LOW,0
Kolkata,32.7,0.0,0.2,67.4,1,225.33,314.6,11.5,79.2,0.0,LOW,0
Mumbai,30.4,39.5,12.2,74.7,0,196.45,26.3,11.7,23.8,25.6,MODERATE,0
Mumbai,26.2,0.0,4.4,66.8,2,230.74,712.5,18.6,5.2,12.0,LOW,0
Pune,31.2,4.3,12.4,72.5,1,210.15,462.3,5.4,41.5,17.9,LOW,0
Bengaluru,26.5,0.0,1.5,45.0,1,174.59,544.5,0.9,71.6,25.8,LOW,0
Jaipur,26.0,0.0,4.9,54.2,2,67.4,308.3,9.3,20.8,21.7,LOW,0
Lucknow,35.8,40.5,4.1,80.5,2,119.56,495.9,14.1,21.4,26.4,MODERATE,0
Delhi,33.7,2.6,7.6,66.0,3,173.72,547.9,4.0,70.5,26.2,LOW,0
Delhi,32.7,0.0,7.9,45.3,0,173.39,706.9,15.8,20.8,19.0,LOW,0
Ahmedabad,35.9,0.0,5.6,54.4,3,176.52,672.7,2.6,75.0,20.6,LOW,0
Mumbai,34.3,2.4,10.9,100.0,3,54.92,39.4,8.1,39.1,23.1,MODERATE,0
Lucknow,36.4,34.7,3.9,95.6,3,66.48,497.6,16.4,21.9,28.5,MODERATE,0
Ahmedabad,40.3,0.0,4.7,40.3,2,112.39,247.2,18.1,59.7,6.0,LOW,0
Bengaluru,23.0,0.0,9.3,61.1,0,68.23,130.9,11.3,42.4,0.5,LOW,0
Chennai,32.5,31.9,3.0,62.9,3,148.32,68.7,14.5,21.5,23.9,MODERATE,0
Bengaluru,26.2,0.0,0.0,67.3,1,231.56,528.1,18.7,11.7,3.1,LOW,0
Pune,36.0,0.0,7.6,44.5,0,214.9,273.0,8.1,78.2,6.0,LOW,0
Lucknow,30.1,2.0,5.7,96.8,11,423.32,15.1,57.9,757.9,97.9,MODERATE,1
Hyderabad,38.2,45.0,2.4,95.8,2,58.15,138.1,11.0,58.0,17.8,MODERATE,0
Jaipur,33.1,0.0,8.3,42.6,2,58.73,136.5,0.5,52.3,10.0,LOW,0
Ahmedabad,37.2,0.0,5.4,49.0,6,468.09,5.0,97.6,420.3,93.8,LOW,1
Chennai,29.3,0.0,2.6,36.3,3,171.24,440.0,19.8,52.4,29.8,LOW,0
Lucknow,40.4,0.0,8.1,59.8,2,176.51,283.5,12.8,33.0,2.1,LOW,0
Jaipur,38.3,0.0,5.9,28.2,1,180.42,241.3,10.0,68.6,0.3,LOW,0
Bengaluru,26.1,0.0,6.0,36.3,15,389.76,16.4,48.7,442.1,83.5,LOW,1
Bengaluru,25.0,23.3,1.1,86.0,3,211.13,431.4,21.7,16.5,3.4,LOW,0
Mumbai,28.3,3.7,9.9,82.3,3,247.33,695.7,0.1,76.1,19.2,LOW,0
Jaipur,25.7,0.0,8.5,60.1,1,111.59,514.5,5.0,53.9,29.1,LOW,0
Bengaluru,25.1,82.7,6.5,89.7,2,186.65,370.0,15.4,69.5,17.1,MODERATE,1
Ahmedabad,40.1,0.0,5.4,65.1,1,249.88,57.6,24.4,32.6,26.1,MODERATE,0
Jaipur,33.4,0.0,5.5,69.7,2,211.57,554.6,19.9,34.8,24.5,LOW,0
Ahmedabad,41.9,0.0,1.0,71.1,2,127.71,336.3,5.9,29.9,6.8,MODERATE,0
Lucknow,27.1,0.0,4.9,55.0,3,153.82,357.5,0.6,27.3,11.4,LOW,0
Mumbai,27.1,20.1,8.5,99.5,2,53.65,160.3,0.2,51.8,26.9,MODERATE,0
Jaipur,27.9,0.0,11.6,38.2,3,101.36,222.3,7.7,64.2,16.2,LOW,0
Lucknow,40.6,0.0,6.3,43.2,2,221.88,580.6,4.6,23.6,23.8,LOW,0
Lucknow,32.3,30.4,6.4,85.7,12,427.6,12.8,75.6,665.9,85.9,LOW,1
Ahmedabad,42.7,0.0,4.1,40.1,1,196.39,616.4,16.8,64.8,23.0,LOW,0
Lucknow,44.1,24.0,0.3,75.8,10,428.39,15.0,72.8,300.8,75.6,MODERATE,1
Jaipur,36.9,0.0,7.0,45.4,2,194.9,35.0,8.5,65.5,18.1,LOW,0
Pune,23.5,2.0,6.7,66.8,3,138.48,603.0,16.7,5.6,19.2,LOW,0
Ahmedabad,38.7,0.0,7.5,40.9,2,125.7,276.6,24.9,35.7,10.0,LOW,0
Pune,32.2,25.8,5.2,82.0,14,464.36,1.0,58.1,787.8,79.0,LOW,1
Kolkata,26.6,0.0,5.1,55.9,0,68.59,202.9,19.7,69.2,18.3,LOW,0
Pune,28.8,10.5,3.8,65.4,2,129.4,335.3,15.0,41.3,27.6,LOW,0
Pune,22.0,0.0,8.7,65.6,1,225.59,628.2,20.1,63.2,9.1,LOW,0
Jaipur,32.4,0.0,5.4,63.5,0,222.4,666.2,12.2,48.5,22.9,LOW,0
Hyderabad,23.9,9.2,4.2,86.1,0,237.29,633.8,6.9,68.1,0.0,LOW,0
Mumbai,29.1,60.7,9.3,71.7,0,173.9,231.0,10.8,13.7,2.2,MODERATE,0
Delhi,39.3,0.0,3.2,39.7,3,111.25,458.2,13.2,34.1,3.9,LOW,0
Hyderabad,40.9,0.0,0.8,31.7,0,203.86,31.7,10.4,38.5,0.6,MODERATE,0
